总共运行步数: 1433 , 分数: -21.0 , 加权分数: -20.441958
总共运行步数: 1164 , 分数: -21.0 , 加权分数: -20.447539
总共运行步数: 1172 , 分数: -20.0 , 加权分数: -20.443063
总共运行步数: 1346 , 分数: -20.0 , 加权分数: -20.438633
总共运行步数: 1284 , 分数: -20.0 , 加权分数: -20.434246
总共运行步数: 1318 , 分数: -20.0 , 加权分数: -20.429904
总共运行步数: 1194 , 分数: -20.0 , 加权分数: -20.425605
总共运行步数: 1344 , 分数: -21.0 , 加权分数: -20.431349
总共运行步数: 1468 , 分数: -19.0 , 加权分数: -20.417035
总共运行步数: 1193 , 分数: -20.0 , 加权分数: -20.412865
总共运行步数: 1129 , 分数: -20.0 , 加权分数: -20.408736
总共运行步数: 1396 , 分数: -18.0 , 加权分数: -20.384649
总共运行步数: 1064 , 分数: -21.0 , 加权分数: -20.390802
总共运行步数: 1258 , 分数: -20.0 , 加权分数: -20.386894
总共运行步数: 1222 , 分数: -21.0 , 加权分数: -20.393025
总共运行步数: 1140 , 分数: -21.0 , 加权分数: -20.399095
总共运行步数: 1606 , 分数: -19.0 , 加权分数: -20.385104
总共运行步数: 1252 , 分数: -19.0 , 加权分数: -20.371253
总共运行步数: 1160 , 分数: -21.0 , 加权分数: -20.377541
总共运行步数: 1262 , 分数: -20.0 , 加权分数: -20.373765
总共运行步数: 1464 , 分数: -20.0 , 加权分数: -20.370028
总共运行步数: 1207 , 分数: -20.0 , 加权分数: -20.366327
总共运行步数: 1128 , 分数: -20.0 , 加权分数: -20.362664
总共运行步数: 1254 , 分数: -20.0 , 加权分数: -20.359037
总共运行步数: 1134 , 分数: -20.0 , 加权分数: -20.355447
总共运行步数: 1395 , 分数: -18.0 , 加权分数: -20.331892
总共运行步数: 1251 , 分数: -20.0 , 加权分数: -20.328574
总共运行步数: 1662 , 分数: -18.0 , 加权分数: -20.305288
总共运行步数: 1279 , 分数: -20.0 , 加权分数: -20.302235
总共运行步数: 1521 , 分数: -18.0 , 加权分数: -20.279213
总共运行步数: 1451 , 分数: -20.0 , 加权分数: -20.276420
总共运行步数: 1103 , 分数: -21.0 , 加权分数: -20.283656
总共运行步数: 1419 , 分数: -20.0 , 加权分数: -20.280820
总共运行步数: 1200 , 分数: -21.0 , 加权分数: -20.288011
总共运行步数: 1266 , 分数: -20.0 , 加权分数: -20.285131
总共运行步数: 1189 , 分数: -20.0 , 加权分数: -20.282280
总共运行步数: 1404 , 分数: -19.0 , 加权分数: -20.269457
总共运行步数: 1500 , 分数: -19.0 , 加权分数: -20.256763
总共运行步数: 1357 , 分数: -19.0 , 加权分数: -20.244195
总共运行步数: 1327 , 分数: -20.0 , 加权分数: -20.241753
总共运行步数: 1140 , 分数: -20.0 , 加权分数: -20.239336
总共运行步数: 1278 , 分数: -21.0 , 加权分数: -20.246942
总共运行步数: 1231 , 分数: -21.0 , 加权分数: -20.254473
总共运行步数: 1213 , 分数: -20.0 , 加权分数: -20.251928
总共运行步数: 1652 , 分数: -19.0 , 加权分数: -20.239409
总共运行步数: 1643 , 分数: -17.0 , 加权分数: -20.207015
总共运行步数: 1605 , 分数: -20.0 , 加权分数: -20.204944
总共运行步数: 1556 , 分数: -20.0 , 加权分数: -20.202895
总共运行步数: 1162 , 分数: -20.0 , 加权分数: -20.200866
总共运行步数: 1232 , 分数: -20.0 , 加权分数: -20.198857
总共运行步数: 1316 , 分数: -19.0 , 加权分数: -20.186869
